example_id                                                       | status  | run_time        |
./spec/models/user_spec.rb[1:1]                                  | passed  | 0.03021 seconds |
./spec/models/user_spec.rb[1:2:1]                                | pending | 0.00001 seconds |
./spec/models/user_spec.rb[1:2:2]                                | pending | 0.00002 seconds |
./spec/models/user_spec.rb[1:2:3]                                | pending | 0.00001 seconds |
./spec/requests/badges_spec.rb[1:1:1]                            | passed  | 0.07018 seconds |
./spec/routing/badges_routing_spec.rb[1:1:1]                     | passed  | 0.00282 seconds |
./spec/routing/badges_routing_spec.rb[1:1:2]                     | passed  | 0.00311 seconds |
./spec/services/badge_requests/award_badge*_spec.rb[1:1]         | pending | 0.00003 seconds |
./spec/services/badges/sync_badges_with_google*_spec.rb[1:1:1]   | passed  | 0.9715 seconds  |
./spec/services/badges/sync_badges_with_google*_spec.rb[1:2:1]   | passed  | 0.82826 seconds |
./spec/services/badges/sync_badges_with_google*_spec.rb[1:2:2]   | passed  | 1.17 seconds    |
./spec/services/badges/sync_badges_with_google*_spec.rb[1:2:3]   | passed  | 0.94412 seconds |
./spec/services/badges/sync_badges_with_google*_spec.rb[1:2:4]   | passed  | 0.95354 seconds |
./spec/services/badges/sync_badges_with_google*_spec.rb[1:2:5]   | passed  | 0.95665 seconds |
./spec/services/badges/sync_badges_with_google*_spec.rb[1:3]     | pending | 0.00002 seconds |
./spec/services/google/authorize_with_google*_spec.rb[1:1:1]     | passed  | 0.00603 seconds |
./spec/services/user/sync_users_with_google*_spec.rb[1:1:1]      | pending | 0.00002 seconds |
./spec/services/user/sync_users_with_google*_spec.rb[1:1:2]      | passed  | 0.10451 seconds |
./spec/services/user/sync_users_with_google*_spec.rb[1:1:3:1]    | passed  | 0.07382 seconds |
./spec/services/user/sync_users_with_google*_spec.rb[1:1:3:2]    | passed  | 0.08208 seconds |
./spec/services/user/sync_users_with_google*_spec.rb[1:1:3:3]    | passed  | 0.08928 seconds |
./spec/services/user/sync_users_with_google*_spec.rb[1:1:3:4]    | passed  | 0.07578 seconds |
./spec/services/user/sync_users_with_google*_spec.rb[1:1:3:5]    | passed  | 0.08732 seconds |
./spec/services/user/sync_users_with_google*_spec.rb[1:1:4:1]    | passed  | 0.07349 seconds |
./spec/services/user/sync_users_with_google*_spec.rb[1:1:5:1]    | passed  | 0.11114 seconds |
./spec/services/user/sync_users_with_google*_spec.rb[1:1:5:2]    | passed  | 0.14906 seconds |
./spec/services/user/sync_users_with_google*_spec.rb[1:1:5:3]    | passed  | 0.09235 seconds |
./spec/views/badges/index.html.slim_spec.rb[1:1]                 | passed  | 0.03515 seconds |
./spec/views/badges/index.html.slim_spec.rb[1:2]                 | passed  | 0.06549 seconds |
./spec/views/badges/show.html.slim_spec.rb[1:1:1]                | passed  | 0.27028 seconds |
./spec/views/badges/show.html.slim_spec.rb[1:1:2]                | passed  | 0.06131 seconds |
./spec/views/badges/show.html.slim_spec.rb[1:1:3]                | passed  | 0.06163 seconds |
./spec/views/badges/show.html.slim_spec.rb[1:1:4]                | passed  | 0.06042 seconds |
./spec/views/badges/show.html.slim_spec.rb[1:1:5]                | passed  | 0.05951 seconds |
./spec/views/badges/show.html.slim_spec.rb[1:1:6]                | passed  | 0.05973 seconds |
./spec/views/badges/show.html.slim_spec.rb[1:2:1]                | passed  | 0.10914 seconds |
